Perimeter,DimA,DimB,Roundness,AspectRatio,Area,MeanH,MeanS,MeanV,SeedType
0.351462999,0.808853882,0.162534924,2.336883348,0.321254671,0.710869641,0.190314406,1.687694215,-0.521234266,BlackPure
0.378363395,0.859501813,0.177514304,2.30102864,0.342066363,0.675014932,-0.520711161,1.511637572,-0.155334867,BlackPure
0.1297327,0.436987257,0.006776374,1.927717852,0.290734346,0.301704145,-1.331644587,1.161008073,-0.334176264,BlackPure
0.443306697,0.953094014,0.236176618,2.42968377,0.296560693,0.803670063,1.321199873,1.148789622,-1.059261017,BlackPure
0.301232007,0.808853882,0.084655649,2.290483138,0.546523732,0.66446943,-1.417781714,1.516040107,-0.355948224,BlackPure
0.194676005,0.560942799,0.006776374,1.955136159,0.458596131,0.329122451,-1.011397056,0.479959812,-0.681289092,BlackPure
0.215482354,0.313031715,0.2404142,2.140737002,-0.468292852,0.514723295,0.030230061,0.768721427,-0.606957932,BlackPure
0.322038358,0.932809424,0.084655649,2.244082927,0.706392098,0.618069219,-1.307710777,1.57578993,0.000818546,BlackPure
0.39916974,0.637074531,0.43473059,2.436011072,-0.509751728,0.809997364,0.639445234,1.40365417,-0.527574621,BlackPure
0.372269353,0.868863609,0.152327111,2.29891954,0.423928751,0.672905832,-1.380185764,1.448580196,-0.269163227,BlackPure
0.322038355,1.056764966,0.006776374,2.227210123,1.130043267,0.601196415,-0.410489777,0.026831496,-1.247012512,BlackPure
0.413882065,1.115040922,0.215265497,2.438120172,0.545701345,0.812106465,-0.869329265,1.966838443,0.187086218,BlackPure
0.413882071,0.808853882,0.39617275,2.606848212,-0.246423363,0.980834504,-1.360816011,1.57109861,-0.425777883,BlackPure
0.313420087,0.758542445,0.190624404,2.197682716,0.184009537,0.571669008,-0.74494457,-0.023990567,-0.973712552,BlackPure
0.156633091,0.637074531,0.037622646,1.883426742,0.465159243,0.257413034,-0.895191961,-0.568433354,-1.023825728,BlackPure
0.227670437,0.603962956,0.215265497,2.056372983,-0.064700574,0.430359275,0.326136126,1.370205652,-0.549516642,BlackPure
0.307326048,0.932809424,0.084655649,2.241973826,0.706392098,0.615960118,-1.407956235,1.098600928,-0.400499161,BlackPure
0.342844731,1.056764966,0.084655649,2.218773721,0.866260464,0.592760013,-0.355557371,1.247310144,-0.27289976,BlackPure
0.390551463,1.056764966,0.162534924,2.284155836,0.626457915,0.658142128,-0.902625276,0.984861987,-0.673316702,BlackPure
0.271807381,0.808853882,0.084655649,2.117536897,0.546523732,0.491523189,-1.221451069,0.570481353,-0.691861251,BlackPure
0.357557028,0.932809424,0.162534924,2.402265464,0.473856293,0.776251756,-1.012811251,1.248542996,-0.402748588,BlackPure
0.342844728,0.808853882,0.2404142,2.332665147,0.115574224,0.70665144,-1.344271814,1.712304032,0.136766357,BlackPure
0.363651076,0.736192712,0.420936631,2.450774775,-0.376437769,0.824761067,-1.260875212,1.365999872,-0.492002202,BlackPure
0.378363392,0.906088347,0.210106554,2.330556047,0.309926273,0.704542339,1.181756141,1.036387486,-0.921089008,BlackPure
0.315944329,0.684898341,0.162534924,2.317901444,0.168653049,0.691887736,-1.254286368,1.036875956,-0.350499512,BlackPure
0.470207099,0.807854111,0.468803349,2.60052091,-0.397179007,0.974507203,-0.473111054,1.418668118,-0.107445465,BlackPure
0.313420102,0.932809424,0.162534924,2.341101549,0.473856293,0.715087842,-0.731316324,1.198963792,-0.712240213,BlackPure
0.537674624,1.056764966,0.2404142,2.575211704,0.407507762,0.949197997,1.072417288,1.056930018,-1.372093509,BlackPure
0.357557031,0.808853882,0.2404142,2.406483665,0.115574224,0.780469957,0.042081374,0.965927504,-0.904718015,BlackPure
0.257095062,0.684898341,0.162534924,2.195573615,0.168653049,0.569559908,0.557511378,0.697244444,-1.0808196,BlackPure
0.263189098,0.209274841,0.486742524,2.189246314,-1.052159927,0.563232606,0.171458083,0.550210048,-1.039401283,BlackPure
