PerimeterDimA,,DimB,Roundness,AspectRatio,Area,MeanH,MeanS,MeanV,SeedType
1.227089214,1.246555796,1.353789291,1.348841669,-0.522952547,1.348841669,1.594583052,0.259771354,1.008430026,WhitePure
-0.675658568,-0.532662885,-0.74899876,-0.715570158,0.625479924,-0.715570158,0.161976029,0.902380364,0.999546758,WhitePure
0.103613912,0.229859407,-0.148202174,0.051079424,0.685375495,0.051079424,-0.625367699,1.226201756,0.530405278,WhitePure
-0.249460287,-0.278488788,-0.148202174,-0.318390254,-0.272953642,-0.318390254,0.859280996,-0.054915384,1.738023746,WhitePure
1.18425412,1.246555796,0.752992705,1.274947733,0.548471332,1.274947733,0.061921705,0.588480863,0.582383128,WhitePure
0.727766861,0.738207602,0.752992705,0.776163668,-0.272953642,0.776163668,-0.47581472,1.128802552,-0.344503991,WhitePure
1.580163423,1.500729894,1.654187584,1.718311347,-0.632327068,1.718311347,0.27762762,0.188479365,0.583682075,WhitePure
-0.072923198,-0.024314691,-0.148202174,-0.207549351,0.206210927,-0.207549351,-0.313050414,0.300227874,0.573087375,WhitePure
1.580163413,1.754903991,1.353789291,1.736784831,0.227044169,1.736784831,-0.018389201,0.574579653,-0.064525626,WhitePure
0.176737994,-0.024314691,0.452594412,0.189630553,-0.991700494,0.189630553,-0.026119479,0.588384866,0.83882616,WhitePure
0.051907409,-0.024314691,0.152196119,0.111118247,-0.424268768,0.111118247,0.229895582,0.825723375,0.489246367,WhitePure
1.382208777,1.500729894,1.053390998,1.473537685,0.380452588,1.473537685,-0.685301331,0.992871914,-0.537422935,WhitePure
0.956010506,0.992381699,0.752992705,1.076357781,0.137758845,1.076357781,-0.321487603,1.36112402,-0.275374463,WhitePure
1.580163413,1.754903991,1.353789291,1.764495057,0.227044169,1.764495057,-0.175632543,0.938638616,-0.270646088,WhitePure
0.228444508,0.229859407,0.152196119,0.277379602,0.029676612,0.277379602,0.310441284,0.85509191,-0.016689926,WhitePure
0.228444508,0.229859407,0.152196119,0.203485666,0.029676612,0.203485666,-0.354619578,0.896088664,-0.9231161,WhitePure
1.205671667,0.992381699,1.353789291,1.334986556,-0.897950905,1.334986556,-0.40695033,0.771105727,-0.866705681,WhitePure
1.631869927,1.500729894,1.654187584,1.815297138,-0.632327068,1.815297138,-0.077261947,1.047218308,-0.856967311,WhitePure
-0.051505651,-0.024314691,0.152196119,-0.11056356,-0.424268768,-0.11056356,-0.69410111,1.093359244,-0.347234737,WhitePure
1.499400153,1.500729894,1.053390998,1.593140811,0.380452588,1.593140811,0.691547616,0.584982191,1.040444311,WhitePure
1.042127856,0.992381699,1.053390998,1.203820679,-0.403634888,1.203820679,0.513293909,0.66874812,1.096817108,WhitePure
1.645899776,1.754903991,1.353789291,1.797070404,0.227044169,1.797070404,0.883269039,-0.574132665,0.998586803,WhitePure
1.197514177,1.246555796,0.752992705,1.24553355,0.548471332,1.24553355,0.477039575,0.539565806,0.559764518,WhitePure
0.865287146,0.992381699,0.752992705,0.888656763,0.137758845,0.888656763,0.194125543,-0.960955945,1.13000792,WhitePure
