perimeter,dimA,dimB,Roundness,AspectRatio,area,meanH,meanS,meanV,SeedType
1.53384171,5.062253981,4.688753576,2.20863469,1.079658783,1.757575642,0.678012422,1.914782609,1.937556936,Black_pure
1.586103428,5.016591655,5.213122055,2.41144325,0.962300825,1.918965567,1.131961905,4.097295238,2.168228571,Black_pure
1.644705548,5.47008547,4.827586207,2.629091462,1.133089133,2.09216451,0.487425569,3.791523643,2.240700525,Black_pure
1.670836414,5.641025641,4.827586207,2.601885435,1.168498168,2.070514642,0.878586572,3.958939929,2.302756184,Black_pure
1.70593395,5.641025641,5.057471264,2.678556964,1.115384615,2.131527906,0.67524957,3.663476764,2.108020654,Black_pure
1.618574694,5.299145299,4.827586207,2.483168229,1.097680098,1.976042491,0.556746765,3.196968577,2.099001848,Black_pure
1.681660157,5.47008547,5.057471264,2.817060372,1.081585082,2.241745416,0.634295082,3.960327869,2.239606557,Black_pure
1.670836412,5.299145299,5.287356322,2.735442292,1.002229654,2.176795812,0.511096121,4.482428331,2.501989882,Black_pure
1.686143508,5.198942334,5.820224782,2.8739457,0.893254561,2.287013321,0.542093398,4.092560386,2.196199678,Black_pure
1.696967264,5.433235923,5.197893818,2.732969017,1.045276436,2.174827642,1.449983137,3.72148398,1.987521079,Black_pure
1.651045962,5.128205128,5.057471264,2.718129366,1.013986014,2.163018623,0.544542373,3.722033898,2.265016949,Black_pure
1.764536088,5.29776657,5.961518382,3.049548234,0.888660611,2.426753378,0.834893617,4.151854103,2.383221884,Black_pure
1.649188904,5.47008547,5.057471264,2.745335393,1.081585082,2.184668491,0.738922559,3.904511785,2.089090909,Black_pure
1.814171511,5.641025641,5.287356322,3.019868932,1.066889632,2.40313534,1.409343511,3.744610687,1.768183206,Black_pure
1.681660159,5.299145299,5.287356322,2.822006922,1.002229654,2.245681755,1.026382979,3.642160393,1.995482815,Black_pure
1.607750936,5.128205128,5.057471264,2.574679409,1.013986014,2.048864774,1.217960644,3.339677996,1.909838998,Black_pure
1.612234278,4.4722993,6.014471472,2.567259584,0.743589744,2.042960265,1.074470377,3.174147217,1.929982047,Black_pure
1.729438534,5.47008547,5.287356322,2.967930154,1.034559643,2.361803774,1.106853583,3.681495327,1.978816199,Black_pure
1.586103428,5.128205128,5.057471264,2.451015653,1.013986014,1.950456283,0.760375235,3.929606004,2.368780488,Black_pure
1.570796327,4.957264957,5.057471264,2.470801854,0.98018648,1.966201642,1.16283054,3.520595903,2.118286778,Black_pure
1.640222203,5.299145299,4.827586207,2.621671636,1.097680098,2.086260001,1.730877193,3.505964912,1.865122807,Black_pure
1.675319752,4.232279796,6.827237887,2.728022467,0.61991099,2.170891302,1.310186125,4.139086294,1.51891709,Black_pure
1.660012643,5.641025641,4.827586207,2.559839758,1.168498168,2.037055755,1.586355476,3.203016158,1.839138241,Black_pure
1.681660166,5.299145299,5.287356322,2.822006922,1.002229654,2.245681755,1.21086743,3.840130933,1.957315876,Black_pure
1.64023117,4.915254237,5.517241379,2.699337412,0.890889831,2.148064461,0.874352941,3.319327731,1.979428571,Black_pure
1.603618044,5.084745763,5.057471264,2.577745636,1.005392912,2.0513048,1.001968366,3.156836555,1.881335677,Black_pure
1.556281184,4.915254237,5.057471264,2.395357973,0.971879815,1.90616531,0.821962264,3.971169811,2.040754717,Black_pure
1.618783691,4.745762712,5.747126437,2.660428044,0.825762712,2.117101369,0.843276451,3.308122867,1.98887372,Black_pure
1.608059953,5.084745763,5.057471264,2.516949749,1.005392912,2.00292497,0.853956835,3.800863309,2.109352518,Black_pure
1.609899863,4.915254237,5.057471264,2.582609307,0.971879815,2.055175187,0.892049037,3.23943958,1.807355517,Black_pure
1.692009955,5.4895372,5.140386155,2.762565135,1.067923116,2.198379484,0.929261084,3.266009852,2.008669951,Black_pure
1.603618039,5.336292031,4.762838932,2.378335125,1.120401531,1.892618957,0.882121212,3.311893939,2.295151515,Black_pure
1.646512992,5.423728814,4.597701149,2.524245255,1.179661017,2.00873055,0.8305,3.8,2.143642857,Black_pure
1.582170569,4.915254237,5.287356322,2.553427281,0.929624171,2.031952868,0.915595027,3.039573712,2.289662522,Black_pure
1.618783697,5.254237288,5.057471264,2.475608545,1.038906009,1.970026686,0.96919708,3.190291971,2.035109489,Black_pure
1.571446829,4.547934869,5.654424771,2.492631394,0.80431433,1.983573038,0.882254545,3.792,2.161527273,Black_pure
1.612501882,4.434398458,6.014471472,2.64097336,0.737288136,2.101619824,0.94313253,2.90788296,2.035043029,Black_pure
